Cust_ID,International.Plan,Voice.Mail.Plan,X..Vmail.Messages,X..customer.Service.Calls,Churn,trainrows,Total.Day.Minutes,Total.Day.Calls,Total.Day.Charge,Total.Eve.Minutes,Total.Eve.Calls,Total.Eve.Charge,Total.Night.Minutes,Total.Night.Calls,Total.Night.Charge,Total.Intl.Minutes,Total.Intl.Calls,Total.Intl.Charge
101,no,yes,25,1,False.,No,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7
102,no,yes,26,1,False.,Yes,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7
103,no,no,0,0,False.,Yes,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29
104,yes,no,0,2,False.,Yes,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78
105,yes,no,0,3,False.,Yes,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73
106,yes,no,0,0,False.,Yes,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7
107,no,yes,24,3,False.,No,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03
108,yes,no,0,0,False.,Yes,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92
109,no,no,0,1,False.,Yes,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35
110,yes,yes,37,0,False.,Yes,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02
111,no,no,0,4,True.,Yes,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43
112,no,no,0,0,False.,Yes,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46
113,no,no,0,1,False.,Yes,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02
114,no,no,0,3,False.,Yes,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32
115,no,no,0,4,False.,Yes,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54
116,no,no,0,4,True.,Yes,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46
117,no,yes,27,1,False.,Yes,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73
118,no,no,0,3,False.,Yes,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19
119,no,yes,33,1,False.,No,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7
120,no,no,0,1,False.,Yes,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51
121,no,no,0,0,False.,Yes,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86
122,no,no,0,5,True.,Yes,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54
123,no,no,0,0,False.,Yes,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57
124,no,no,0,2,False.,No,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08
125,no,no,0,0,False.,Yes,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78
126,no,no,0,3,False.,Yes,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19
127,no,yes,39,0,False.,Yes,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57
128,no,no,0,3,False.,No,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97
129,no,no,0,0,False.,Yes,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7
